showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,Crime 101,פשע 101,,,,,English,,,2026,2026-02-19,,120,,,MovieLand,220
,EPiC,Epic אלביס פרסלי בהופעה,,,,,English,,,2026,2026-02-19,,120,,,MovieLand,220
,"Good Luck, Have Fun, Don't Die","בהצלחה, תהנו, אל תמותו",,,,,English,,,2025,2026-02-19,,134,,,MovieLand,220
,Scarlet,Scarlet,,,,,Japanese,,,2026,2026-02-26,,120,,,MovieLand,220
,Scream 7,צעקה 7,,,,,English,,,2026,2026-02-26,,120,,,MovieLand,220
,David,דויד הסרט,,,,,English,,,2025,2026-02-26,,115,,,MovieLand,220
,Stand Your Ground,השורד האחרון,,,,,English,,,2025,2026-02-26,,99,,,MovieLand,220
,Hoppers,קופצים בראש,,,,,English,,,2026,2026-03-05,,120,,,MovieLand,220
,הסתברות לאהבה,הסתברות לאהבה,,,,,Hebrew,,,2025,2026-03-05,,94,,,MovieLand,220
,The Bride!,הכלה!,,,,,English,,,2026,2026-03-05,,120,,,MovieLand,220
,TWO WOMEN,בגידות קטנות,,,,,French,,,2025,2026-03-05,,100,,,MovieLand,220
,Reminders of him,מזכרת ממנו,,,,,English,,,2026,2026-03-12,,120,,,MovieLand,220
,Whistle,השריקה,,,,,English,,,2025,2026-03-12,,97,,,MovieLand,220
,כי את מכוערת,כי את מכוערת,,,,,Hebrew,,,2025,2026-03-12,,83,,,MovieLand,220
,Project Hail Mary,פרויקט הייל מרי,,,,,English,,,2026,2026-03-19,,120,,,MovieLand,220
,שמיים וארץ,שמיים וארץ,,,,,Hebrew,,,2026,2026-03-19,,106,,,MovieLand,220
,Ready or Not: Here I Come,"מי שעומד מאחורי 2,1…",,,,,English,,,2026,2026-03-26,,120,,,MovieLand,220
,HOW TO MAKE A KILLING,עשיר רצח,,,,,English,,,2026,2026-03-26,,120,,,MovieLand,220
,They will kill you,הם ירצחו אותך,,,,,English,,,2026,2026-03-26,,120,,,MovieLand,220
,Shell,שקר היופי,,,,,English,,,2024,2026-04-02,,100,,,MovieLand,220
,Super Mario Galaxy Movie,סופר מריו גלקסי הסרט,,,,,English,,,2026,2026-04-02,,120,,,MovieLand,220
,Giant,ענק,,,,,English,,,2024,2026-04-09,,120,,,MovieLand,220
,"You, Me & Tuscany","אני, אתה וטוסקנה",,,,,English,,,2026,2026-04-09,,120,,,MovieLand,220
,Michael,מייקל,,,,,English,,,2026,2026-04-16,,120,,,MovieLand,220
,The Mummy,מומיה,,,,,English,,,2026,2026-04-16,,120,,,MovieLand,220
,June & John,ג'ון וג'ון,,,,,English,,,2026,2026-04-23,,120,,,MovieLand,220
,The Devil Wears Prada 2,השטן לובשת פראדה 2,,,,,English,,,2026,2026-04-30,,120,,,MovieLand,220
,Billie Eilish – Hit Me Hard and Soft The Tour (Liv,בילי אייליש סיבוב ההופעות HIT ME HARD ב-,,,,,English,,,2026,2026-05-07,,120,,,MovieLand,220
,THE SHEEP DETECTIVES,בלשי צמרת,,,,,English,,,2026,2026-05-07,,120,,,MovieLand,220
,Mortal Kombat II,מורטל קומבט II,,,,,English,,,2026,2026-05-14,,120,,,MovieLand,220
,Star Wars: The Mandalorian and Grogu,המנדלוריאן וגרוגו,,,,,English,,,2026,2026-05-21,,120,,,MovieLand,220
,Masters Of The Universe,שליטי היקום,,,,,English,,,2026,2026-06-04,,120,,,MovieLand,220
,Disclosure Day,התגלית,,,,,English,,,2026,2026-06-11,,120,,,MovieLand,220
,Toy Story 5,צעצוע של סיפור 5,,,,,English,,,2026,2026-06-18,,120,,,MovieLand,220
,Supergirl,סופרגירל,,,,,English,,,2026,2026-06-25,,120,,,MovieLand,220
,Moana (Live Action),מואנה,,,,,English,,,2026,2026-07-09,,120,,,MovieLand,220
,The Odyssey,האודיסיאה,,,,,English,,,2026,2026-07-16,,120,,,MovieLand,220
,Digger,דיגר,,,,,English,,,2026,2026-10-01,,120,,,MovieLand,220
,Street Fighter,סטריט פייטר,,,,,English,,,2026,2026-10-15,,120,,,MovieLand,220
,The Hunger Games: Sunrise on the Reaping,משחקי הרעב: זריחה על האסיף,,,,,English,,,2026,2026-11-19,,120,,,MovieLand,220
,The Cat In The Hat,חתול תעלול: הסרט,,,,,English,,,2026,2026-11-26,,120,,,MovieLand,220
,Avengers: Doomsday,"הנוקמים: עלייתו של ד""ר דום",,,,,English,,,2026,2026-12-17,,120,,,MovieLand,220
