showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,Saltiz,סולטיז הסרט,,,,,Hebrew,,,,2026-07-15,,75,,,Yes Planet,497
,The Odyssey,האודיסאה,,,,,English,,,2026,2026-07-16,Christopher Nolan,172,,,Yes Planet,497
,Spider-Man: Brand New Day,ספיידרמן: יום חדש,,,,,English,,,2026,2026-07-29,Destin Daniel Cretton,140,,,Yes Planet,497
,BLACK BOX,מה קרה לטיסה 298?,,,,,English,,,2026,2026-06-25,Steven Quale,85,,,Yes Planet,497
,I Swear,מילה שלי,,,,,English,,,2025,2026-06-25,Kirk Jones,120,,,Yes Planet,497
,Supergirl,סופרגירל,,,,,English,,,2026,2026-06-25,קרייג גילספי,110,,,Yes Planet,497
,TUNER,המכוון,,,,,English,,,2025,2026-06-25,Daniel Roher,110,,,Yes Planet,497
,Minions & Monsters,מיניונים ומפלצות,,,,,English,,,2026,2026-07-02,,90,,,Yes Planet,497
,THE GET OUT AKA Bear Country,לצאת מהמשחק,,,,,English,,,2026,2026-07-02,Derrick Borte,101,,,Yes Planet,497
,Youthful Grace,מכולת,,,,,Hebrew,,,2025,2026-07-02,Yuval Shani,84,,,Yes Planet,497
,American Hina,חינה אמריקאית,,,,,Hebrew,,,2026,2026-07-09,שלום אסייג,89,,,Yes Planet,497
,DRIVER'S ED,נהג חדש,,,,,English,,,2025,2026-07-09,Bobby Farrelly,98,,,Yes Planet,497
,Evil Dead Burn,מוות אכזרי אש,,,,,English,,,2026,2026-07-09,Sébastien Vanicek,120,,,Yes Planet,497
,How To Make a Killing,עשיר רצח,,,,,English,,,2026,2026-07-09,John Patton Ford,105,,,Yes Planet,497
,Mama,מאמא,,,,,Hebrew,,,2025,2026-07-09,אור סיני,93,,,Yes Planet,497
,Moana,מואנה,,,,,English,,,2026,2026-07-09,,120,,,Yes Planet,497
,Moana 2,מואנה 2,,,,,English,,,2024,2026-07-09,,100,All,,Yes Planet,497
,The Invite,ההזמנה,,,,,English,,,2026,2026-07-09,Olivia Wilde,107,,,Yes Planet,497
,planet-quoter,רבע הגמר  - חגיגת מונדיאל,,,,,Hebrew,,,,2026-07-09,,120,,,Yes Planet,497
,2planet-quoter,רבע הגמר 2  - חגיגת מונדיאל,,,,,Hebrew,,,,2026-07-10,,120,,,Yes Planet,497
,planet-semi-final,חצי הגמר - חגיגת מונדיאל,,,,,Hebrew,,,,2026-07-14,,120,,,Yes Planet,497
,2planet-semi,חצי הגמר 2  - חגיגת מונדיאל,,,,,Hebrew,,,,2026-07-15,,120,,,Yes Planet,497
,planet-final,משחק הגמר - חגיגת מונדיאל,,,,,Hebrew,,,,2026-07-19,,120,,,Yes Planet,497
,Cuz You’re Ugly,כי את מכוערת,,,,,Hebrew,,,2025,2026-07-23,שרון אנגלהרט,83,,,Yes Planet,497
,Magshimim,תיכון מגשימים,,,,,Hebrew,,,2026,2026-07-23,,100,,,Yes Planet,497
,It's Family F***ing Business - IL,סרט כחול לבן,,,,,Hebrew,,,2026,2026-07-30,רובי דואניאס,86,14+,,Yes Planet,497
,Bitter Christmas,אוטופיקשן,,,,,ES,,,2026,2026-08-06,Pedro Almodóvar,112,,,Yes Planet,497
,One night only,לגמור את הלילה,,,,,English,,,2026,2026-08-06,Will Gluck,120,,,Yes Planet,497
,Paw Patrol: The Dino Movie,מפרץ ההרפתקאות: אי הדינוזאורים,,,,,English,,,2026,2026-08-13,,120,,,Yes Planet,497
,Forgotten Island,האי הנעלם,,,,,English,,,2026,2026-09-24,,98,,,Yes Planet,497
,Clayface,קלייפייס,,,,,English,,,2026,2026-10-22,James Watkins,120,,,Yes Planet,497
,The Cat In The Hat,חתול תעלול: הסרט,,,,,English,,,2026,2026-11-05,,120,All,,Yes Planet,497
,The Hunger Games: Sunrise on the Reaping,משחקי הרעב: זריחה על האסיף,,,,,English,,,2026,2026-11-19,,120,,,Yes Planet,497
,Focker-In-Law,פגוש את הכלה,,,,,English,,,2026,2026-11-26,John Hamburg,120,,,Yes Planet,497
,Avengers: Doomsday,"הנוקמים: עלייתו של ד""ר דום",,,,,English,,,2026,2026-12-17,,120,,,Yes Planet,497
