showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,KPOP Demon Hunters Singalong,KPOP Demon Hunters Singalong,,,,,English,,,2025,2026-06-10,,96,All,,Lev Cinema,471
,Disclosure Day,התגלית,,,,,English,,,2026,2026-06-11,,145,All,,Lev Cinema,471
,Scary Movie,הורים בחופשת לידה – מת לצעוק,,,,,English,,,2026,2026-06-14,,95,16+,,Lev Cinema,471
,A Nice Indian Boy,גאים בלב – בקרוב אצלך,,,,,English,,,2025,2026-06-15,,99,All,,Lev Cinema,471
,Three Men and Vilma,"שלג, גברים וצרות אחרות",,,,,Norwegian,,,2025,2026-06-18,,92,All,,Lev Cinema,471
,Toy Story 5,צעצוע של סיפור 5,,,,,English,,,2026,2026-06-18,,102,All,,Lev Cinema,471
,,קופה ראשית: הסרט,,,,,Hebrew,,,2026,2026-06-18,,91,All,,Lev Cinema,471
,I Swear,מילה שלי,,,,,English,,,2025,2026-06-25,,120,,,Lev Cinema,471
,I Swear,טרום בכורה – מילה שלי,,,,,English,,,2025,2026-06-25,,120,,,Lev Cinema,471
,Surprise Screening,הקרנה בהפתעה,,,,,Hebrew,,,,2026-06-28,,0,18+,,Lev Cinema,471
,Just an Illusion,טרום בכורה – אשליות מתוקות,,,,,French,,,2026,2026-07-01,,116,,,Lev Cinema,471
,The Invite.,ההזמנה.,,,,,English,,,2026,2026-07-09,,107,,,Lev Cinema,471
,Just an Illusion,אשליות מתוקות,,,,,French,,,2026,2026-07-23,,116,,,Lev Cinema,471
,Bitter Christmas,אוטופיקשן,,,,,Spanish,,,2026,2026-08-06,,112,,,Lev Cinema,471
,Let It Rain,ויהי גשם,,,,,Swedish,,,2025,2026-08-20,,109,All,,Lev Cinema,471
,A Brief Affair,שנת הבגידה שלי,,,,,Italian,,,2025,2026-09-03,,98,,,Lev Cinema,471
,Primavera,פרימוורה,,,,,Italian,,,2025,2026-09-24,,110,,,Lev Cinema,471
,What is Love,גירושים: סיפור אהבה,,,,,French,,,2026,2026-10-15,,100,,,Lev Cinema,471
,Band Together,מנגינה חדשה,,,,,English,,,2025,2026-11-05,,90,,,Lev Cinema,471
