showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,Michael,מייקל,,,,,English,,,2026,2026-04-16,,120,,,MovieLand,342
,The Mummy,מומיה,,,,,English,,,2026,2026-04-16,,120,,,MovieLand,342
,הסתברות לאהבה,הסתברות לאהבה,,,,,Hebrew,,,2025,2026-04-23,,94,All,,MovieLand,342
,June & John,ג'ון וג'ון,,,,,English,,,2025,2026-04-23,,120,,,MovieLand,342
,Normal,עסקים כרגיל,,,,,English,,,2026,2026-04-23,,90,,,MovieLand,342
,The Devil Wears Prada 2,השטן לובשת פראדה 2,,,,,English,,,2026,2026-04-30,,120,,,MovieLand,342
,Billie Eilish – Hit Me Hard and Soft The Tour (Liv,בילי אייליש סיבוב ההופעות HIT ME HARD ב-,,,,,English,,,2026,2026-05-07,,120,,,MovieLand,342
,THE SHEEP DETECTIVES,בלשי צמרת,,,,,English,,,2026,2026-05-07,,120,,,MovieLand,342
,Mortal Kombat II,מורטל קומבט II,,,,,English,,,2026,2026-05-14,,120,,,MovieLand,342
,Obsession,אובססיה,,,,,English,,,2026,2026-05-14,,120,,,MovieLand,342
,Mother Mary,Mother Mary,,,,,English,,,2026,2026-05-14,,120,,,MovieLand,342
,Star Wars: The Mandalorian and Grogu,המנדלוריאן וגרוגו,,,,,English,,,2026,2026-05-21,,120,,,MovieLand,342
,Masters Of The Universe,שליטי היקום,,,,,English,,,2026,2026-06-04,,120,,,MovieLand,342
,Disclosure Day,התגלית,,,,,English,,,2026,2026-06-11,,120,,,MovieLand,342
,Scary Movie,מת לצעוק,,,,,English,,,2026,2026-06-11,,120,,,MovieLand,342
,Toy Story 5,צעצוע של סיפור 5,,,,,English,,,2026,2026-06-18,,120,,,MovieLand,342
,Supergirl,סופרגירל,,,,,English,,,2026,2026-06-25,,120,,,MovieLand,342
,Minions & Monsters,מיניונים ומפלצות,,,,,English,,,2026,2026-07-02,,120,,,MovieLand,342
,Moana (Live Action),מואנה,,,,,English,,,2026,2026-07-09,,120,,,MovieLand,342
,The Odyssey,האודיסיאה,,,,,English,,,2026,2026-07-16,,120,,,MovieLand,342
,Spider-Man: Brand New Day,ספיידרמן: יום חדש,,,,,English,,,2026,2026-07-30,,120,,,MovieLand,342
,Digger,דיגר,,,,,English,,,2026,2026-10-01,,120,,,MovieLand,342
,Street Fighter,סטריט פייטר,,,,,English,,,2026,2026-10-15,,120,,,MovieLand,342
,The Hunger Games: Sunrise on the Reaping,משחקי הרעב: זריחה על האסיף,,,,,English,,,2026,2026-11-19,,120,,,MovieLand,342
,The Cat In The Hat,חתול תעלול: הסרט,,,,,English,,,2026,2026-11-26,,120,,,MovieLand,342
,Avengers: Doomsday,"הנוקמים: עלייתו של ד""ר דום",,,,,English,,,2026,2026-12-17,,120,,,MovieLand,342
,Dune: Part Three,חולית חלק שלישי,,,,,English,,,2026,2026-12-17,,120,,,MovieLand,342
