showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,Project Hail Mary,פרויקט הייל מרי,,,,,English,,,2026,2026-03-19,,120,,,MovieLand,250
,שמיים וארץ,שמיים וארץ,,,,,Hebrew,,,2026,2026-03-19,,106,,,MovieLand,250
,My Friend Eva,הכל אודות אווה,,,,,ספרדית,,,2025,2026-03-19,,100,12+,,MovieLand,250
,THE TESTAMENT OF ANN LEE,צוואתה של אן לי,,,,,English,,,2026,2026-03-19,,120,,,MovieLand,250
,Ready or Not: Here I Come,"מי שעומד מאחורי 2,1…",,,,,English,,,2026,2026-03-26,,120,,,MovieLand,250
,HOW TO MAKE A KILLING,עשיר רצח,,,,,English,,,2026,2026-03-26,,120,,,MovieLand,250
,They will kill you,הם ירצחו אותך,,,,,English,,,2026,2026-03-26,,120,,,MovieLand,250
,כראמל בקולנוע!!,כראמל בקולנוע!!,,,,,Hebrew,,,2026,2026-03-26,,120,,,MovieLand,250
,Shell,שקר היופי,,,,,English,,,2024,2026-04-02,,100,,,MovieLand,250
,Super Mario Galaxy Movie,סופר מריו גלקסי הסרט,,,,,English,,,2026,2026-04-02,,120,,,MovieLand,250
,The Drama,הדרמה,,,,,English,,,2026,2026-04-02,,120,,,MovieLand,250
,Not Without Hope,הישרדות ללא תקווה,,,,,English,,,2025,2026-04-02,,120,,,MovieLand,250
,Giant,ענק,,,,,English,,,2024,2026-04-09,,120,,,MovieLand,250
,"You, Me & Tuscany","אני, אתה וטוסקנה",,,,,English,,,2026,2026-04-09,,120,,,MovieLand,250
,Michael,מייקל,,,,,English,,,2026,2026-04-16,,120,,,MovieLand,250
,The Mummy,מומיה,,,,,English,,,2026,2026-04-16,,120,,,MovieLand,250
,June & John,ג'ון וג'ון,,,,,English,,,2026,2026-04-23,,120,,,MovieLand,250
,The Devil Wears Prada 2,השטן לובשת פראדה 2,,,,,English,,,2026,2026-04-30,,120,,,MovieLand,250
,Billie Eilish – Hit Me Hard and Soft The Tour (Liv,בילי אייליש סיבוב ההופעות HIT ME HARD ב-,,,,,English,,,2026,2026-05-07,,120,,,MovieLand,250
,THE SHEEP DETECTIVES,בלשי צמרת,,,,,English,,,2026,2026-05-07,,120,,,MovieLand,250
,Mortal Kombat II,מורטל קומבט II,,,,,English,,,2026,2026-05-14,,120,,,MovieLand,250
,Obsession,אובססיה,,,,,English,,,2026,2026-05-14,,120,,,MovieLand,250
,Mother Mary,Mother Mary,,,,,English,,,2026,2026-05-14,,120,,,MovieLand,250
,Star Wars: The Mandalorian and Grogu,המנדלוריאן וגרוגו,,,,,English,,,2026,2026-05-21,,120,,,MovieLand,250
,Masters Of The Universe,שליטי היקום,,,,,English,,,2026,2026-06-04,,120,,,MovieLand,250
,Disclosure Day,התגלית,,,,,English,,,2026,2026-06-11,,120,,,MovieLand,250
,Toy Story 5,צעצוע של סיפור 5,,,,,English,,,2026,2026-06-18,,120,,,MovieLand,250
,Supergirl,סופרגירל,,,,,English,,,2026,2026-06-25,,120,,,MovieLand,250
,Minions & Monsters,מיניונים ומפלצות,,,,,English,,,2026,2026-07-02,,120,,,MovieLand,250
,Moana (Live Action),מואנה,,,,,English,,,2026,2026-07-09,,120,,,MovieLand,250
,The Odyssey,האודיסיאה,,,,,English,,,2026,2026-07-16,,120,,,MovieLand,250
,Digger,דיגר,,,,,English,,,2026,2026-10-01,,120,,,MovieLand,250
,Street Fighter,סטריט פייטר,,,,,English,,,2026,2026-10-15,,120,,,MovieLand,250
,The Hunger Games: Sunrise on the Reaping,משחקי הרעב: זריחה על האסיף,,,,,English,,,2026,2026-11-19,,120,,,MovieLand,250
,The Cat In The Hat,חתול תעלול: הסרט,,,,,English,,,2026,2026-11-26,,120,,,MovieLand,250
,Avengers: Doomsday,"הנוקמים: עלייתו של ד""ר דום",,,,,English,,,2026,2026-12-17,,120,,,MovieLand,250
