showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,Wuthering Heights,אנקת גבהים,,,,,English,,,2026,2026-02-12,,120,14+,,MovieLand,219
,Solo Mio,להתאהב ברומא,,,,,English,,,2026,2026-02-12,,100,,,MovieLand,219
,ADDITION,לאהוב את גרייס,,,,,English,,,2024,2026-02-12,,90,,,MovieLand,219
,Kill Bill: The Whole Bloody Affair,להרוג את ביל: סיפור הדמים המלא,,,,,English,,,2024,2026-02-12,,275,,,MovieLand,219
,ברנינג מן,ברנינג מן,,,,,Hebrew,,,2025,2026-02-12,,103,,,MovieLand,219
,Cold Storage,הדבר הזה,,,,,English,,,2026,2026-02-12,,100,,,MovieLand,219
,Pillion,פיליון,,,,,English,,,2025,2026-02-12,,107,16+,,MovieLand,219
,Crime 101,פשע 101,,,,,English,,,2026,2026-02-19,,120,,,MovieLand,219
,EPiC,Epic אלביס פרסלי בהופעה,,,,,English,,,2026,2026-02-19,,120,,,MovieLand,219
,"Good Luck, Have Fun, Don't Die","בהצלחה, תהנו, אל תמותו",,,,,English,,,2025,2026-02-19,,134,,,MovieLand,219
,FolleMente,השגעון שלנו,,,,,איטלקית,,,2025,2026-02-19,,97,14+,,MovieLand,219
,Goat,להעז בגדול,,,,,English,,,2026,2026-02-26,,100,,,MovieLand,219
,Scarlet,Scarlet,,,,,Japanese,,,2026,2026-02-26,,120,,,MovieLand,219
,Scream 7,צעקה 7,,,,,English,,,2026,2026-02-26,,120,,,MovieLand,219
,David,דויד הסרט,,,,,English,,,2025,2026-02-26,,115,,,MovieLand,219
,Stand Your Ground,השורד האחרון,,,,,English,,,2025,2026-02-26,,99,,,MovieLand,219
,Goat,להעז בגדול ערבית,,,,,English,,,2026,2026-02-26,,100,,,MovieLand,219
,Hoppers,קופצים בראש,,,,,English,,,2026,2026-03-05,,120,,,MovieLand,219
,הסתברות לאהבה,הסתברות לאהבה,,,,,Hebrew,,,2025,2026-03-05,,94,,,MovieLand,219
,The Bride!,הכלה!,,,,,English,,,2026,2026-03-05,,120,,,MovieLand,219
,Reminders of him,מזכרת ממנו,,,,,English,,,2026,2026-03-12,,120,,,MovieLand,219
,Project Hail Mary,פרויקט הייל מרי,,,,,English,,,2026,2026-03-19,,120,,,MovieLand,219
,שמיים וארץ,שמיים וארץ,,,,,Hebrew,,,2026,2026-03-19,,106,,,MovieLand,219
,Ready or Not: Here I Come,"מי שעומד מאחורי 2,1…",,,,,English,,,2026,2026-03-26,,120,,,MovieLand,219
,HOW TO MAKE A KILLING,עשיר רצח,,,,,English,,,2026,2026-03-26,,120,,,MovieLand,219
,They will kill you,הם ירצחו אותך,,,,,English,,,2026,2026-03-26,,120,,,MovieLand,219
,Shell,שקר היופי,,,,,English,,,2024,2026-04-02,,100,,,MovieLand,219
,Super Mario Galaxy Movie,סופר מריו גלקסי הסרט,,,,,English,,,2026,2026-04-02,,120,,,MovieLand,219
,Giant,ענק,,,,,English,,,2024,2026-04-09,,120,,,MovieLand,219
,"You, Me & Tuscany","אני, אתה וטוסקנה",,,,,English,,,2026,2026-04-09,,120,,,MovieLand,219
,Michael,מייקל,,,,,English,,,2026,2026-04-16,,120,,,MovieLand,219
,The Mummy,מומיה,,,,,English,,,2026,2026-04-16,,120,,,MovieLand,219
,June & John,ג'ון וג'ון,,,,,English,,,2026,2026-04-23,,120,,,MovieLand,219
,The Devil Wears Prada 2,השטן לובשת פראדה 2,,,,,English,,,2026,2026-04-30,,120,,,MovieLand,219
,Billie Eilish – Hit Me Hard and Soft The Tour (Liv,בילי אייליש סיבוב ההופעות HIT ME HARD ב-,,,,,English,,,2026,2026-05-07,,120,,,MovieLand,219
,THE SHEEP DETECTIVES,בלשי צמרת,,,,,English,,,2026,2026-05-07,,120,,,MovieLand,219
,Mortal Kombat II,מורטל קומבט II,,,,,English,,,2026,2026-05-14,,120,,,MovieLand,219
,Star Wars: The Mandalorian and Grogu,המנדלוריאן וגרוגו,,,,,English,,,2026,2026-05-21,,120,,,MovieLand,219
,Masters Of The Universe,שליטי היקום,,,,,English,,,2026,2026-06-04,,120,,,MovieLand,219
,Disclosure Day,התגלית,,,,,English,,,2026,2026-06-11,,120,,,MovieLand,219
,Toy Story 5,צעצוע של סיפור 5,,,,,English,,,2026,2026-06-18,,120,,,MovieLand,219
,Supergirl,סופרגירל,,,,,English,,,2026,2026-06-25,,120,,,MovieLand,219
,Moana (Live Action),מואנה,,,,,English,,,2026,2026-07-09,,120,,,MovieLand,219
,The Odyssey,האודיסיאה,,,,,English,,,2026,2026-07-16,,120,,,MovieLand,219
,Digger,דיגר,,,,,English,,,2026,2026-10-01,,120,,,MovieLand,219
,Street Fighter,סטריט פייטר,,,,,English,,,2026,2026-10-15,,120,,,MovieLand,219
,The Hunger Games: Sunrise on the Reaping,משחקי הרעב: זריחה על האסיף,,,,,English,,,2026,2026-11-19,,120,,,MovieLand,219
,The Cat In The Hat,חתול תעלול: הסרט,,,,,English,,,2026,2026-11-26,,120,,,MovieLand,219
,Avengers: Doomsday,"הנוקמים: עלייתו של ד""ר דום",,,,,English,,,2026,2026-12-17,,120,,,MovieLand,219
