showtime,english_title,hebrew_title,english_href,hebrew_href,screening_type,screening_tech,original_language,dub_language,date_of_showing,release_year,release_date,directed_by,runtime,rating,screening_city,cinema,run_id
,Moana (Live Action),מואנה (לייב אקשן),,,,,,,,,2026-07-08,,115,All,,Cinema City,517
,Jackass: Best and Last,ג'קאס: גומרים בשיא,,,,,,,,,2026-07-09,,92,16+,,Cinema City,517
,The Invite.,ההזמנה.,,,,,,,,,2026-07-09,,107,14+,,Cinema City,517
,Evil Dead Burn,מוות אכזרי אש,,,,,,,,,2026-07-09,,110,18+,,Cinema City,517
,מאמא,מאמא,,,,,,,,,2026-07-09,,93,12+,,Cinema City,517
,Driver's Ed,נהג חדש,,,,,,,,,2026-07-09,,98,14+,,Cinema City,517
,How To Make a Killing,עשיר רצח,,,,,,,,,2026-07-09,,105,All,,Cinema City,517
,חינה אמריקאית,חינה אמריקאית,,,,,,,,,2026-07-09,,89,All,,Cinema City,517
,הצגה - חיפזון וזהירון-הרפתקה בשכונה,הצגה - חיפזון וזהירון-הרפתקה בשכונה,,,,,,,,,2026-07-10,,60,All,,Cinema City,517
,THE ODYSSEY,האודיסאה,,,,,,,,,2026-07-16,,172,,,Cinema City,517
,יוסטארס - מופע היוטיוברים הגדול של הקיץ!,יוסטארס - מופע היוטיוברים הגדול של הקיץ!,,,,,,,,,2026-07-18,,60,All,,Cinema City,517
,מאייקי מציגה: מופע +פסטיבל הסקוושים והטר,מאייקי מציגה: מופע +פסטיבל הסקוושים והטר,,,,,,,,,2026-07-21,,60,All,,Cinema City,517
,Just an Illusion,אשליות מתוקות,,,,,,,,,2026-07-23,,116,All,,Cinema City,517
,Cuz You're Ugly,כי את מכוערת,,,,,,,,,2026-07-23,,83,12+,,Cinema City,517
,תלתלית וזוקו במופע החדש: קיץ של מתנות,תלתלית וזוקו במופע החדש: קיץ של מתנות,,,,,,,,,2026-07-25,,55,All,,Cinema City,517
,SPIDERMAN: BRAND NEW DAY,ספיידרמן: יום חדש,,,,,,,,,2026-07-29,,150,,,Cinema City,517
